Package                         Version   
------------------------------- ----------
actionlib                       1.14.0    
actionlib-tools                 1.14.0    
angles                          1.9.13    
attrs                           19.3.0    
autobahn                        17.10.1   
Automat                         0.8.0     
base-local-planner              2.0.7     
bcrypt                          3.1.7     
bondpy                          1.8.6     
camera-calibration              1.17.0    
camera-calibration-parsers      1.12.0    
catkin                          0.8.10    
catkin-pkg                      0.5.2     
catkin-pkg-modules              0.5.2     
catkin-tools                    0.9.2     
cbor                            1.0.0     
cffi                            1.17.1    
configobj                       5.0.6     
constantly                      15.1.0    
controller-manager              0.5.4     
controller-manager-msgs         0.5.4     
cryptography                    2.8       
cv-bridge                       1.16.2    
cycler                          0.10.0    
Cython                          0.29.14   
dbus-python                     1.2.16    
defusedxml                      0.6.0     
diagnostic-analysis             1.11.0    
diagnostic-common-diagnostics   1.11.0    
diagnostic-updater              1.11.0    
distro                          1.4.0     
docutils                        0.16      
dynamic-reconfigure             1001.7.4  
empy                            3.3.2     
future                          0.18.2    
gazebo-plugins                  4.0.2     
gazebo-ros                      4.0.2     
gencpp                          0.7.0     
geneus                          3.0.0     
genlisp                         0.4.18    
genmsg                          0.6.0     
gennodejs                       2.0.2     
genpy                           0.6.15    
hyperlink                       19.0.0    
idna                            2.8       
image-geometry                  1.16.2    
importlib-metadata              1.5.0     
incremental                     16.10.1   
interactive-markers             1.12.0    
Jinja2                          2.10.1    
joint-state-publisher           1.15.1    
joint-state-publisher-gui       1.15.1    
kiwisolver                      1.0.1     
laser-geometry                  1.6.7     
lxml                            4.5.0     
lz4                             3.0.2+dfsg
MarkupSafe                      1.1.0     
matplotlib                      3.1.2     
mbf-abstract-nav                1000.4.0  
message-filters                 1.16.0    
more-itertools                  4.2.0     
moveit-core                     1.1.12    
moveit-ros-planning-interface   1.1.12    
moveit-ros-visualization        1.1.12    
mpi4py                          3.0.3     
netifaces                       0.10.4    
nose                            1.3.7     
numpy                           1.17.4    
openni2-launch                  1.6.0     
osrf-pycommon                   2.0.2     
pal-app                         0.3.0     
pal-navigation-sm               5.0.9     
pal-python                      1.0.0     
pal-ros-utils                   0.3.3     
pal-statistics                  1.5.2     
pal-waypoint                    0.4.4     
paramiko                        2.6.0     
Pillow                          7.0.0     
pip                             20.0.2    
play-motion                     0.4.15    
psutil                          5.5.1     
py-ubjson                       0.14.0    
pyasn1                          0.4.2     
pyasn1-modules                  0.2.1     
pyaudio                         0.2.14    
pycairo                         1.16.2    
pycparser                       2.22      
pycryptodomex                   3.6.1     
pydot                           1.4.1     
PyGObject                       3.36.0    
PyHamcrest                      1.9.0     
PyNaCl                          1.3.0     
PyOpenGL                        3.1.0     
pyOpenSSL                       19.0.0    
pyparsing                       2.4.6     
PyQRCode                        1.2.1     
PyQt5                           5.14.1    
python-dateutil                 2.7.3     
python-gnupg                    0.4.5     
python-qt-binding               0.4.4     
python-snappy                   0.5.3     
PyTrie                          0.2       
PyYAML                          5.3.1     
qt-dotgraph                     0.4.2     
qt-gui                          0.4.2     
qt-gui-cpp                      0.4.2     
qt-gui-py-common                0.4.2     
resource-retriever              1.12.7    
roman                           2.0.0     
rosbag                          1.16.0    
rosboost-cfg                    1.15.8    
rosclean                        1.15.8    
roscreate                       1.15.8    
rosdep                          0.22.2    
rosdep-modules                  0.22.2    
rosdistro-modules               0.9.0     
rosgraph                        1.16.0    
roslaunch                       1.16.0    
roslib                          1.15.8    
roslint                         0.12.0    
roslz4                          1.16.0    
rosmake                         1.15.8    
rosmaster                       1.16.0    
rosmsg                          1.16.0    
rosnode                         1.16.0    
rosparam                        1.16.0    
rospkg                          1.5.0     
